localidad
TATU PIRE
TRES LAGUNAS
TRES LAGUNAS
TRES LAGUNAS
TRANSITO CUE
TORO PASO
TOMAS GODOY CRUZ
TIMBO PORA
TENIENTE BROWN
TATANE
SOLDADO HERIBERTO AVALOS
SUIPACHA
SUBTTE RICARDO E MASAFERRO
SUBTENIENTE PERIN
SOMBRERO NEGRO
SOLDADO TOMAS SANCHEZ
SOLDADO RAMON A ARRIETA
SOLDADO MARCELINO TORALES
SOLDADO ISMAEL SANCHEZ
TRES MARIAS
SUMAYEN
TRES MOJONES
ZORRILLA CUE
TRES POZOS
SOLDADO ERMINDO LUNA
YUNCA
VIRASOL
VILLA REAL
VILLA MERCEDES
VILLA LUCERO
VILLA HERMOSA
VILLA GRAL MANUEL BELGRANO
VILLA GENERAL URQUIZA
VILLA GENERAL GUEMES
VILLA ESCOLAR
VILLA EMILIA
VILLA DOS TRECE
VILLA ADELAIDA
VACA PERDIDA
URBANA VIEJA
TTE GRAL ROSENDO N FRA
TTE GRAL JUAN C SANCHEZ
TTE CNEL GASPAR CAMPOS
TTE CNEL GASPAR CAMPOS
TRES POZOS
TRES POCITOS
SOLDADO EDMUNDO SOSA
POZO DE LAS GARZAS
SOLDADO ALBERTO VILLALBA
EL MARCADO
EL MIRADOR
EL MISTOLAR
EL MOJON
EL ÑANDU
EL OCULTO
EL OLVIDO
EL OMBU
EL PALMAR
EL PALO SANTO
EL PARAISO
EL PARAISO
EL PERDIDO
EL PILON
EL PIMPIN
EL PINDO
EL PINDO
EL POI
EL POMBERO
EL PORTEÑITO
EL PORTEÑO
EL POTRERITO
EL POTRILLO
EL QUEBRACHO
EL QUEBRANTO
EL QUEMADO
SOLDADO DANTE SALVATIERRA
EL GUAJHO
EL RECREO
EL GATO
EL DESMONTE
CURUPAY
DESVIO LOS MATACOS
DOCTOR CARLOS MONTAG
DOCTOR GUMERSINDO SAYAGO
DOCTOR LUIS AGOTE
DOMINGO F SARMIENTO
EL ACHERAL
EL AIBALITO
EL ALAMBRADO
EL ALGARROBO
EL ANGELITO
EL ARBOL SOLO
EL ARBOLITO
EL AZOTADO
EL BAÑADERO
EL BORDO SANTO
EL BRAGADO
EL CAÑON
EL CAVADO
EL CEIBAL
EL COATI
EL COGOIK
EL COLORADO
EL CORRALITO
EL CORRALITO
EL CORREDERO
EL DESCANSO
EL ESPINILLO
EL REMANSO
EL RESGUARDO
EL ROSADO
FORTIN FONTANA
FORTIN GALPON
FORTIN GUEMES
FORTIN LA SOLEDAD
FORTIN MEDIA LUNA
FORTIN PILCOMAYO
FORTIN SARGENTO 1RO LEYES
FRANCISCO NARCISO DE LAPRIDA
FRAY MAMERTO ESQUIU
FRONTERA
GABRIELA MISTRAL
GARCETE CUE
GENDARME VIVIANO GARCETE
GENERAL ENRIQUE MOSCONI
GENERAL FRANCISCO B BOSCH
GENERAL JULIO DE VEDIA
GENERAL MANUEL BELGRANO
GENERAL PABLO RICCHIERI
GOBERNADOR LUNA OLMOS
GOBERNADOR YALUR
GRAL IGNACIO H FOTHERINGHAM
