localidad
VERDE OLIVO
VICHIGASTA
VILLA BUSTOS
VILLA CASANA
VILLA CASTELLI
VILLA CHEPES
VILLA SANAGASTA
VILLA NIDIA
VILLA SAN JOSE DE VINCHINA
VILLA SANTA RITA
VILLA UNION
VINCHINA
VALLE HERMOSO
VILLA MAZAN
VALLE HERMOSO
LOS OROS
UDPINANGO
EL PORTEZUELO
EL POTRERILLO
EL POTRERILLO
EL POTRERILLO
EL POTRERILLO R V PEÑALOZA
EL POTRERO
EL PUEBLITO
EL PUESTO
EL QUEBRACHAL
EL QUEBRACHO
EL QUEBRACHO
EL QUEMADO
EL QUEMADO
EL RETAMAL
EL RETAMO
EL RETIRO
EL RODEO
EL ROSARIO
EL TALA
EL TALA
EL VALDECITO
EL VALLE
EL VALLECITO
EL VERDE
EL ZAPALLAR
EL PLUMERILLO
EL PEDREGAL
EL MOLLE
EL MOLLAR
EL CANTADERO
EL CARRIZAL
EL CARRIZAL
EL CARRIZAL TAMA
EL CATORCE
EL CERCO
EL CHIFLON
EL CHOCOY
EL CHUSCHIN
EL CHUSCO
EL CIENAGO
EL CINCUENTA
ESPERANZA DE LOS CERRILLOS
EL CONDADO
EL DIVISADERO
EL DURAZNILLO
EL ESCONDIDO
EL ESTANQUITO
EL FRAILE
EL FUERTE
EL GARABATO
EL HORNO
EL HUACO
EL JUMEAL
EL MEDANITO
EL MEDANO
EL CONSUELO
EL CALDEN
ESQUINA DEL NORTE
ESQUINA GRANDE
LA AGUADITA
LA AMERICA
LA ANTIGUA
LA ARMONIA
LA BANDA
LA BANDA
LA BUENA ESTRELLA
LA BUENA SUERTE
LA CALERA
LA CALLANA
LA CARRIZANA
LA CHILCA
LA CHIMENEA
LA CIENAGA
LA CIENAGA
LA CIENAGA
LA CONSULTA
LA CUADRA
LA DORA
LA ENVIDIA
LA ESCONDIDA
LA ESPERANZA
LA ESQUINA
LA ESQUINA
LA FLOR
LA AGUADITA
LA AGUADA
KILOMETRO 921
KILOMETRO 891
ESTACION 69
ESTACION MAZAN
ESTANCIA DE MAIZ
FALDA DE CITAN
FAMATINA
FLAMENCO
FRANCISCO ORTIZ DE OCAMPO
GOBERNADOR GORDILLO
GUACHIN
GUANDACOL
GUAYAPA
HUACO
ESQUINA DEL SUD
HUAJA
ILIAR
ILISCO
ILLISCA
ISMIANGO
JAGUE
